0.03	 A0:22	 A1:176	 A2:59	 T:22.60
0.03	 B0:72	 B1:129	 B2:87	 T:22.60
0.03	 D0:13	 D1:164	 D2:77	 T:nan
0.03	 C0:13	 C1:55	 C2:16	 T:22.60

0.06	 A0:22	 A1:176	 A2:60	 T:22.60
0.06	 B0:72	 B1:128	 B2:87	 T:22.60
0.05	 D0:13	 D1:164	 D2:77	 T:nan
0.06	 C0:13	 C1:55	 C2:15	 T:22.60

0.13	 A0:23	 A1:176	 A2:60	 T:22.60
0.13	 B0:72	 B1:128	 B2:87	 T:22.60
0.12	 D0:13	 D1:164	 D2:77	 T:nan
0.13	 C0:13	 C1:55	 C2:15	 T:22.60

0.21	 A0:22	 A1:176	 A2:60	 T:22.60
0.21	 B0:72	 B1:128	 B2:87	 T:22.60
0.19	 D0:13	 D1:164	 D2:78	 T:nan
0.20	 C0:13	 C1:55	 C2:16	 T:22.60

0.29	 A0:23	 A1:176	 A2:59	 T:22.60
0.29	 B0:72	 B1:128	 B2:87	 T:22.60
0.27	 D0:13	 D1:164	 D2:77	 T:nan
0.28	 C0:13	 C1:55	 C2:16	 T:22.60

0.36	 A0:23	 A1:176	 A2:59	 T:22.60
0.36	 B0:72	 B1:128	 B2:87	 T:22.60
0.34	 D0:13	 D1:164	 D2:78	 T:nan
0.35	 C0:13	 C1:55	 C2:16	 T:22.60

0.44	 A0:22	 A1:176	 A2:60	 T:22.60
0.44	 B0:72	 B1:128	 B2:87	 T:22.60
0.41	 D0:13	 D1:164	 D2:77	 T:nan
0.43	 C0:13	 C1:55	 C2:15	 T:22.60

0.52	 A0:23	 A1:176	 A2:60	 T:22.60
0.52	 B0:73	 B1:128	 B2:87	 T:22.60
0.49	 D0:13	 D1:164	 D2:77	 T:nan
0.50	 C0:13	 C1:55	 C2:16	 T:22.60

0.59	 A0:23	 A1:176	 A2:60	 T:22.60
0.59	 B0:72	 B1:128	 B2:87	 T:22.60
0.56	 D0:13	 D1:164	 D2:78	 T:nan
0.58	 C0:13	 C1:55	 C2:16	 T:22.60

0.67	 A0:23	 A1:176	 A2:60	 T:22.60
0.67	 B0:72	 B1:128	 B2:87	 T:22.60
0.63	 D0:13	 D1:164	 D2:78	 T:nan
0.65	 C0:13	 C1:55	 C2:16	 T:22.60

0.75	 A0:22	 A1:176	 A2:59	 T:22.60
0.75	 B0:73	 B1:128	 B2:87	 T:22.60
0.70	 D0:13	 D1:164	 D2:77	 T:nan
0.73	 C0:13	 C1:55	 C2:16	 T:22.60

0.83	 A0:23	 A1:176	 A2:60	 T:22.60
0.83	 B0:73	 B1:128	 B2:87	 T:22.60
0.78	 D0:13	 D1:164	 D2:78	 T:nan
0.80	 C0:13	 C1:55	 C2:16	 T:22.60

0.90	 A0:23	 A1:176	 A2:60	 T:22.60
0.90	 B0:73	 B1:128	 B2:87	 T:22.60
0.85	 D0:13	 D1:164	 D2:77	 T:nan
0.88	 C0:13	 C1:55	 C2:16	 T:22.60

0.98	 A0:23	 A1:176	 A2:60	 T:22.60
0.98	 B0:73	 B1:128	 B2:87	 T:22.60
0.92	 D0:13	 D1:164	 D2:78	 T:nan
0.95	 C0:13	 C1:55	 C2:16	 T:22.60

1.06	 A0:23	 A1:176	 A2:60	 T:22.60
1.06	 B0:73	 B1:129	 B2:87	 T:22.60
1.00	 D0:13	 D1:164	 D2:78	 T:nan
1.03	 C0:13	 C1:55	 C2:16	 T:22.60

1.13	 A0:22	 A1:176	 A2:60	 T:22.60
1.13	 B0:73	 B1:128	 B2:87	 T:22.60
1.07	 D0:14	 D1:164	 D2:78	 T:nan
1.10	 C0:13	 C1:55	 C2:16	 T:22.60

1.21	 A0:23	 A1:176	 A2:60	 T:22.60
1.21	 B0:73	 B1:128	 B2:87	 T:22.60
1.14	 D0:13	 D1:164	 D2:78	 T:nan
1.18	 C0:13	 C1:55	 C2:16	 T:22.60

1.29	 A0:23	 A1:176	 A2:60	 T:22.60
1.29	 B0:73	 B1:128	 B2:87	 T:22.60
1.21	 D0:13	 D1:164	 D2:78	 T:nan
1.25	 C0:13	 C1:55	 C2:16	 T:22.60

1.36	 A0:23	 A1:176	 A2:60	 T:22.60
1.36	 B0:73	 B1:128	 B2:87	 T:22.60
1.29	 D0:13	 D1:164	 D2:78	 T:nan
1.33	 C0:13	 C1:55	 C2:16	 T:22.60

1.44	 A0:22	 A1:177	 A2:60	 T:22.60
1.44	 B0:74	 B1:129	 B2:87	 T:22.60
1.36	 D0:13	 D1:164	 D2:78	 T:nan
1.40	 C0:13	 C1:55	 C2:16	 T:22.60

1.52	 A0:23	 A1:176	 A2:60	 T:22.60
1.52	 B0:73	 B1:128	 B2:87	 T:22.60
1.43	 D0:13	 D1:165	 D2:77	 T:nan
1.48	 C0:13	 C1:55	 C2:16	 T:22.60

1.60	 A0:23	 A1:176	 A2:60	 T:22.60
1.60	 B0:73	 B1:129	 B2:87	 T:22.60
1.51	 D0:13	 D1:164	 D2:78	 T:nan
1.55	 C0:13	 C1:55	 C2:15	 T:22.60

1.67	 A0:23	 A1:177	 A2:60	 T:22.60
1.67	 B0:73	 B1:128	 B2:87	 T:22.60
1.58	 D0:13	 D1:164	 D2:78	 T:nan
1.63	 C0:13	 C1:55	 C2:16	 T:22.60

1.75	 A0:23	 A1:176	 A2:60	 T:22.60
1.75	 B0:73	 B1:128	 B2:87	 T:22.60
1.65	 D0:13	 D1:164	 D2:77	 T:nan
1.70	 C0:13	 C1:55	 C2:16	 T:22.60

1.83	 A0:23	 A1:176	 A2:60	 T:22.60
