0.03	 A0:36	 A1:183	 A2:74	 T:23.40
0.03	 B0:90	 B1:130	 B2:78	 T:nan
0.03	 C0:19	 C1:79	 C2:20	 T:23.40
0.03	 D0:13	 D1:195	 D2:78	 T:23.00

0.06	 A0:36	 A1:183	 A2:74	 T:23.40
0.05	 B0:90	 B1:130	 B2:78	 T:nan
0.06	 C0:19	 C1:79	 C2:20	 T:23.40
0.06	 D0:13	 D1:195	 D2:77	 T:23.00

0.13	 A0:36	 A1:183	 A2:74	 T:23.40
0.12	 B0:90	 B1:130	 B2:78	 T:nan
0.13	 C0:19	 C1:79	 C2:20	 T:23.40
0.13	 D0:13	 D1:195	 D2:77	 T:23.00

0.21	 A0:36	 A1:183	 A2:74	 T:23.40
0.19	 B0:90	 B1:130	 B2:78	 T:nan
0.20	 C0:19	 C1:80	 C2:20	 T:23.40
0.21	 D0:13	 D1:196	 D2:77	 T:23.00

0.29	 A0:36	 A1:183	 A2:74	 T:23.40
0.27	 B0:90	 B1:130	 B2:78	 T:nan
0.28	 C0:18	 C1:79	 C2:20	 T:23.40
0.29	 D0:13	 D1:195	 D2:77	 T:23.00

0.36	 A0:36	 A1:183	 A2:74	 T:23.40
0.34	 B0:90	 B1:130	 B2:78	 T:nan
0.35	 C0:19	 C1:79	 C2:20	 T:23.40
0.36	 D0:13	 D1:195	 D2:77	 T:23.00

0.44	 A0:36	 A1:183	 A2:74	 T:23.40
0.41	 B0:90	 B1:130	 B2:78	 T:nan
0.43	 C0:19	 C1:79	 C2:20	 T:23.40
0.44	 D0:13	 D1:195	 D2:77	 T:23.00

0.52	 A0:36	 A1:183	 A2:74	 T:23.40
0.49	 B0:90	 B1:130	 B2:78	 T:nan
0.50	 C0:19	 C1:79	 C2:20	 T:23.40
0.52	 D0:13	 D1:195	 D2:77	 T:23.00

0.59	 A0:36	 A1:183	 A2:74	 T:23.40
0.56	 B0:90	 B1:130	 B2:78	 T:nan
0.58	 C0:19	 C1:79	 C2:20	 T:23.40
0.59	 D0:13	 D1:195	 D2:77	 T:23.00

0.67	 A0:36	 A1:183	 A2:74	 T:23.40
0.63	 B0:90	 B1:130	 B2:78	 T:nan
0.65	 C0:19	 C1:79	 C2:20	 T:23.40
0.67	 D0:13	 D1:195	 D2:77	 T:23.00

0.75	 A0:36	 A1:183	 A2:74	 T:23.40
0.70	 B0:90	 B1:130	 B2:78	 T:nan
0.73	 C0:19	 C1:79	 C2:20	 T:23.40
0.75	 D0:13	 D1:195	 D2:77	 T:23.00

0.83	 A0:36	 A1:183	 A2:74	 T:23.40
0.78	 B0:90	 B1:130	 B2:78	 T:nan
0.80	 C0:19	 C1:79	 C2:20	 T:23.40
0.83	 D0:13	 D1:195	 D2:77	 T:23.00

0.90	 A0:36	 A1:183	 A2:74	 T:23.40
0.85	 B0:90	 B1:130	 B2:78	 T:nan
0.88	 C0:19	 C1:79	 C2:20	 T:23.40
0.90	 D0:13	 D1:195	 D2:78	 T:23.00

0.98	 A0:36	 A1:183	 A2:74	 T:23.40
0.92	 B0:90	 B1:130	 B2:78	 T:nan
0.95	 C0:19	 C1:80	 C2:20	 T:23.40
0.98	 D0:13	 D1:195	 D2:77	 T:23.00

1.06	 A0:36	 A1:183	 A2:74	 T:23.40
1.00	 B0:90	 B1:130	 B2:78	 T:nan
1.03	 C0:18	 C1:79	 C2:20	 T:23.40
1.06	 D0:13	 D1:195	 D2:77	 T:23.00

1.13	 A0:36	 A1:183	 A2:74	 T:23.40
1.07	 B0:90	 B1:130	 B2:78	 T:nan
1.10	 C0:19	 C1:79	 C2:20	 T:23.40
1.13	 D0:13	 D1:195	 D2:77	 T:23.00

1.21	 A0:36	 A1:183	 A2:74	 T:23.40
1.14	 B0:90	 B1:130	 B2:78	 T:nan
1.18	 C0:19	 C1:79	 C2:20	 T:23.40
1.21	 D0:13	 D1:195	 D2:77	 T:23.00

1.29	 A0:35	 A1:183	 A2:74	 T:23.40
1.21	 B0:90	 B1:130	 B2:78	 T:nan
1.25	 C0:19	 C1:79	 C2:20	 T:23.40
1.29	 D0:13	 D1:195	 D2:77	 T:23.00

1.36	 A0:36	 A1:183	 A2:74	 T:23.40
1.29	 B0:90	 B1:130	 B2:78	 T:nan
1.33	 C0:19	 C1:80	 C2:20	 T:23.40
1.36	 D0:13	 D1:195	 D2:77	 T:23.00

1.44	 A0:36	 A1:183	 A2:74	 T:23.40
1.36	 B0:90	 B1:130	 B2:78	 T:nan
1.40	 C0:18	 C1:79	 C2:21	 T:23.40
1.44	 D0:14	 D1:195	 D2:77	 T:23.00

1.52	 A0:36	 A1:183	 A2:74	 T:23.40
1.43	 B0:90	 B1:130	 B2:78	 T:nan
1.48	 C0:19	 C1:79	 C2:20	 T:23.40
1.52	 D0:13	 D1:195	 D2:77	 T:23.00

1.60	 A0:36	 A1:183	 A2:74	 T:23.40
1.51	 B0:90	 B1:130	 B2:78	 T:nan
1.55	 C0:19	 C1:80	 C2:20	 T:23.40
1.60	 D0:13	 D1:195	 D2:77	 T:23.00

1.67	 A0:36	 A1:183	 A2:74	 T:23.40
1.58	 B0:90	 B1:130	 B2:78	 T:nan
1.63	 C0:19	 C1:79	 C2:20	 T:23.40
1.67	 D0:13	 D1:195	 D2:77	 T:23.00

1.75	 A0:36	 A1:183	 A2:73	 T:23.40
1.65	 B0:90	 B1:130	 B2:78	 T:nan
1.70	 C0:19	 C1:80	 C2:20	 T:23.40
1.75	 D0:13	 D1:195	 D2:77	 T:23.00

1.83	 A0:36	 A1:183	 A2:74	 T:23.40
1.72	 B0:90	 B1:130	 B2:78	 T:nan
1.77	 C0:19	 C1:80	 C2:20	 T:23.40
1.83	 D0:13	 D1:195	 D2:77	 T:23.00

1.90	 A0:36	 A1:183	 A2:74	 T:23.40
1.80	 B0:90	 B1:130	 B2:78	 T:nan
1.85	 C0:19	 C1:79	 C2:20	 T:23.40
1.90	 D0:13	 D1:195	 D2:77	 T:23.00

1.98	 A0:36	 A1:183	 A2:74	 T:23.40
1.87	 B0:90	 B1:130	 B2:78	 T:nan
1.92	 C0:19	 C1:80	 C2:20	 T:23.40
1.98	 D0:13	 D1:195	 D2:78	 T:23.00

2.06	 A0:36	 A1:183	 A2:74	 T:23.40
1.94	 B0:89	 B1:130	 B2:78	 T:nan
2.00	 C0:19	 C1:79	 C2:20	 T:23.40
2.06	 D0:14	 D1:195	 D2:77	 T:23.00

2.13	 A0:36	 A1:183	 A2:73	 T:23.40
2.02	 B0:90	 B1:130	 B2:78	 T:nan
2.07	 C0:19	 C1:80	 C2:20	 T:23.40
2.13	 D0:13	 D1:195	 D2:77	 T:23.00

2.21	 A0:36	 A1:183	 A2:74	 T:23.40
2.09	 B0:90	 B1:130	 B2:78	 T:nan
2.15	 C0:19	 C1:80	 C2:21	 T:23.40
2.21	 D0:13	 D1:195	 D2:77	 T:23.00

2.29	 A0:36	 A1:183	 A2:74	 T:23.40
2.16	 B0:89	 B1:130	 B2:78	 T:nan
2.23	 C0:19	 C1:79	 C2:20	 T:23.40
2.29	 D0:13	 D1:195	 D2:78	 T:23.00

2.36	 A0:36	 A1:183	 A2:74	 T:23.40
2.23	 B0:90	 B1:130	 B2:78	 T:nan
2.30	 C0:19	 C1:80	 C2:20	 T:23.40
2.36	 D0:13	 D1:195	 D2:77	 T:23.00

2.44	 A0:36	 A1:183	 A2:74	 T:23.40
2.31	 B0:90	 B1:130	 B2:78	 T:nan
2.37	 C0:18	 C1:79	 C2:20	 T:23.40
2.44	 D0:13	 D1:195	 D2:77	 T:23.00

2.52	 A0:36	 A1:183	 A2:73	 T:23.40
2.38	 B0:90	 B1:130	 B2:78	 T:nan
2.45	 C0:19	 C1:79	 C2:20	 T:23.40
2.52	 D0:14	 D1:195	 D2:78	 T:23.00

2.59	 A0:36	 A1:183	 A2:74	 T:23.40
2.45	 B0:89	 B1:130	 B2:78	 T:nan
2.52	 C0:19	 C1:79	 C2:20	 T:23.40
2.59	 D0:13	 D1:195	 D2:78	 T:23.00

2.67	 A0:36	 A1:183	 A2:74	 T:23.40
2.53	 B0:90	 B1:130	 B2:78	 T:nan
2.60	 C0:19	 C1:80	 C2:21	 T:23.40
2.67	 D0:13	 D1:195	 D2:77	 T:23.00

2.75	 A0:36	 A1:183	 A2:74	 T:23.40
2.60	 B0:90	 B1:130	 B2:78	 T:nan
2.67	 C0:19	 C1:79	 C2:20	 T:23.40
2.75	 D0:13	 D1:195	 D2:77	 T:23.00

2.83	 A0:36	 A1:183	 A2:74	 T:23.40
2.67	 B0:90	 B1:130	 B2:78	 T:nan
2.75	 C0:19	 C1:80	 C2:20	 T:23.40
2.83	 D0:13	 D1:195	 D2:77	 T:23.00

2.90	 A0:36	 A1:183	 A2:74	 T:23.40
2.74	 B0:89	 B1:130	 B2:78	 T:nan
2.82	 C0:19	 C1:79	 C2:21	 T:23.40
2.90	 D0:13	 D1:195	 D2:77	 T:23.00

