0.03	 A0:25	 A1:245	 A2:79	 T:22.60
0.03	 B0:86	 B1:155	 B2:82	 T:nan
0.03	 D0:13	 D1:153	 D2:80	 T:nan
0.03	 C0:14	 C1:62	 C2:20	 T:22.20

0.06	 A0:25	 A1:245	 A2:79	 T:22.60
0.05	 B0:86	 B1:155	 B2:82	 T:nan
0.05	 D0:13	 D1:153	 D2:80	 T:nan
0.06	 C0:14	 C1:62	 C2:20	 T:22.20

0.13	 A0:25	 A1:245	 A2:79	 T:22.60
0.12	 B0:86	 B1:155	 B2:82	 T:nan
0.12	 D0:13	 D1:152	 D2:80	 T:nan
0.13	 C0:13	 C1:62	 C2:20	 T:22.20

0.21	 A0:25	 A1:245	 A2:79	 T:22.60
0.19	 B0:86	 B1:155	 B2:82	 T:nan
0.19	 D0:13	 D1:153	 D2:80	 T:nan
0.20	 C0:14	 C1:62	 C2:20	 T:22.20

0.29	 A0:24	 A1:245	 A2:79	 T:22.60
0.27	 B0:86	 B1:155	 B2:82	 T:nan
0.27	 D0:13	 D1:153	 D2:80	 T:nan
0.28	 C0:14	 C1:62	 C2:20	 T:22.20

0.36	 A0:25	 A1:245	 A2:79	 T:22.60
0.34	 B0:86	 B1:155	 B2:82	 T:nan
0.34	 D0:13	 D1:153	 D2:80	 T:nan
0.35	 C0:14	 C1:62	 C2:20	 T:22.20

0.44	 A0:25	 A1:245	 A2:79	 T:22.60
0.41	 B0:86	 B1:155	 B2:82	 T:nan
0.41	 D0:13	 D1:153	 D2:80	 T:nan
0.43	 C0:14	 C1:62	 C2:20	 T:22.20

0.52	 A0:24	 A1:245	 A2:79	 T:22.60
0.49	 B0:86	 B1:155	 B2:82	 T:nan
0.49	 D0:13	 D1:153	 D2:80	 T:nan
0.50	 C0:14	 C1:62	 C2:20	 T:22.20

0.59	 A0:25	 A1:245	 A2:79	 T:22.60
0.56	 B0:86	 B1:155	 B2:82	 T:nan
0.56	 D0:13	 D1:153	 D2:80	 T:nan
0.58	 C0:14	 C1:62	 C2:20	 T:22.20

0.67	 A0:25	 A1:245	 A2:79	 T:22.60
0.63	 B0:86	 B1:155	 B2:82	 T:nan
0.63	 D0:13	 D1:153	 D2:80	 T:nan
0.65	 C0:14	 C1:62	 C2:20	 T:22.20

0.75	 A0:25	 A1:245	 A2:79	 T:22.60
0.70	 B0:86	 B1:155	 B2:82	 T:nan
0.70	 D0:13	 D1:153	 D2:80	 T:nan
0.73	 C0:14	 C1:63	 C2:20	 T:22.20

0.83	 A0:25	 A1:245	 A2:79	 T:22.60
0.78	 B0:86	 B1:155	 B2:82	 T:nan
0.78	 D0:13	 D1:153	 D2:80	 T:nan
0.80	 C0:14	 C1:62	 C2:20	 T:22.20

0.90	 A0:24	 A1:245	 A2:79	 T:22.60
0.85	 B0:86	 B1:155	 B2:82	 T:nan
0.85	 D0:13	 D1:153	 D2:80	 T:nan
0.88	 C0:14	 C1:63	 C2:20	 T:22.20

0.98	 A0:25	 A1:245	 A2:80	 T:22.60
0.92	 B0:86	 B1:155	 B2:82	 T:nan
0.92	 D0:13	 D1:152	 D2:80	 T:nan
0.95	 C0:14	 C1:62	 C2:20	 T:22.20

1.06	 A0:25	 A1:245	 A2:79	 T:22.60
1.00	 B0:86	 B1:155	 B2:82	 T:nan
1.00	 D0:13	 D1:153	 D2:80	 T:nan
1.03	 C0:14	 C1:62	 C2:20	 T:22.20

1.13	 A0:25	 A1:245	 A2:79	 T:22.60
1.07	 B0:86	 B1:155	 B2:82	 T:nan
1.07	 D0:13	 D1:153	 D2:80	 T:nan
1.10	 C0:14	 C1:62	 C2:20	 T:22.20

1.21	 A0:24	 A1:245	 A2:79	 T:22.60
1.14	 B0:86	 B1:155	 B2:82	 T:nan
1.14	 D0:13	 D1:153	 D2:81	 T:nan
1.18	 C0:14	 C1:62	 C2:20	 T:22.20

1.29	 A0:25	 A1:245	 A2:79	 T:22.60
