0.03	 A0:25	 A1:184	 A2:64	 T:21.80
0.03	 B0:77	 B1:153	 B2:88	 T:nan
0.03	 C0:14	 C1:72	 C2:17	 T:21.90
0.03	 D0:12	 D1:215	 D2:83	 T:nan

0.06	 A0:25	 A1:184	 A2:64	 T:21.80
0.05	 B0:76	 B1:153	 B2:87	 T:nan
0.06	 C0:15	 C1:72	 C2:17	 T:21.90
0.05	 D0:12	 D1:215	 D2:83	 T:nan

0.13	 A0:25	 A1:184	 A2:64	 T:21.80
0.12	 B0:76	 B1:153	 B2:87	 T:nan
0.13	 C0:14	 C1:72	 C2:17	 T:21.90
0.12	 D0:12	 D1:215	 D2:83	 T:nan

0.21	 A0:25	 A1:184	 A2:64	 T:21.80
0.19	 B0:76	 B1:153	 B2:87	 T:nan
0.20	 C0:14	 C1:72	 C2:17	 T:21.90
0.19	 D0:12	 D1:215	 D2:83	 T:nan

0.29	 A0:25	 A1:184	 A2:64	 T:21.80
0.27	 B0:76	 B1:153	 B2:87	 T:nan
0.28	 C0:15	 C1:72	 C2:18	 T:21.90
0.27	 D0:12	 D1:215	 D2:83	 T:nan

0.36	 A0:25	 A1:184	 A2:64	 T:21.80
0.34	 B0:76	 B1:153	 B2:87	 T:nan
0.35	 C0:14	 C1:72	 C2:17	 T:21.90
0.34	 D0:12	 D1:215	 D2:83	 T:nan

0.44	 A0:25	 A1:184	 A2:64	 T:21.80
0.41	 B0:76	 B1:153	 B2:87	 T:nan
0.43	 C0:14	 C1:72	 C2:17	 T:21.90
0.41	 D0:12	 D1:215	 D2:83	 T:nan

0.52	 A0:25	 A1:184	 A2:64	 T:21.80
0.49	 B0:76	 B1:153	 B2:87	 T:nan
0.50	 C0:14	 C1:72	 C2:17	 T:21.90
0.49	 D0:12	 D1:215	 D2:83	 T:nan

0.59	 A0:25	 A1:184	 A2:64	 T:21.80
0.56	 B0:76	 B1:153	 B2:88	 T:nan
0.58	 C0:14	 C1:72	 C2:17	 T:21.90
0.56	 D0:12	 D1:215	 D2:83	 T:nan

0.67	 A0:25	 A1:184	 A2:64	 T:21.80
0.63	 B0:76	 B1:153	 B2:87	 T:nan
0.65	 C0:15	 C1:72	 C2:17	 T:21.90
0.63	 D0:12	 D1:216	 D2:82	 T:nan

0.75	 A0:25	 A1:184	 A2:64	 T:21.80
0.70	 B0:76	 B1:153	 B2:87	 T:nan
0.73	 C0:14	 C1:72	 C2:17	 T:21.90
0.70	 D0:12	 D1:215	 D2:83	 T:nan

0.83	 A0:26	 A1:184	 A2:63	 T:21.80
0.78	 B0:76	 B1:153	 B2:87	 T:nan
0.80	 C0:14	 C1:72	 C2:17	 T:21.90
0.78	 D0:12	 D1:215	 D2:83	 T:nan

0.90	 A0:26	 A1:184	 A2:64	 T:21.80
0.85	 B0:76	 B1:153	 B2:87	 T:nan
0.88	 C0:14	 C1:72	 C2:17	 T:21.90
0.85	 D0:12	 D1:215	 D2:83	 T:nan

0.98	 A0:25	 A1:184	 A2:64	 T:21.80
0.92	 B0:76	 B1:153	 B2:87	 T:nan
0.95	 C0:14	 C1:72	 C2:17	 T:21.90
0.92	 D0:12	 D1:215	 D2:83	 T:nan

1.06	 A0:25	 A1:184	 A2:64	 T:21.80
1.00	 B0:76	 B1:153	 B2:87	 T:nan
1.03	 C0:14	 C1:72	 C2:17	 T:21.90
1.00	 D0:12	 D1:215	 D2:83	 T:nan

1.13	 A0:25	 A1:184	 A2:64	 T:21.80
1.07	 B0:76	 B1:153	 B2:87	 T:nan
1.10	 C0:14	 C1:72	 C2:17	 T:21.90
1.07	 D0:12	 D1:215	 D2:83	 T:nan

1.21	 A0:26	 A1:183	 A2:64	 T:21.80
1.14	 B0:76	 B1:153	 B2:87	 T:nan
1.18	 C0:14	 C1:72	 C2:18	 T:21.90
1.14	 D0:12	 D1:215	 D2:82	 T:nan

1.29	 A0:26	 A1:184	 A2:64	 T:21.80
1.21	 B0:76	 B1:153	 B2:87	 T:nan
1.25	 C0:14	 C1:72	 C2:17	 T:21.90
1.21	 D0:12	 D1:215	 D2:83	 T:nan

1.36	 A0:25	 A1:183	 A2:63	 T:21.80
1.29	 B0:76	 B1:153	 B2:87	 T:nan
1.33	 C0:14	 C1:72	 C2:17	 T:21.90
1.29	 D0:12	 D1:215	 D2:82	 T:nan

